FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
2024-01-02,12,-99,2,3,-99,2,2,1,0,4,10,2,-99,-99,2,-99,1,4,3,-99,1,2,-99,2,2,-99,-99,2,2,-99,-99,2,4,-99
2024-01-02,13,-99,2,2,-99,1,1,1,0,4,2,2,-99,-99,1,-99,1,3,3,-99,1,2,-99,2,1,-99,-99,1,2,-99,-99,1,1,-99
2024-01-02,14,-99,2,1,-99,1,1,1,0,4,3,1,-99,-99,1,-99,1,3,2,-99,1,2,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
2024-01-02,15,-99,2,1,-99,1,1,1,0,3,2,1,-99,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,1,-99,-99,1,2,-99
2024-01-02,16,-99,1,2,-99,1,0,1,0,3,1,1,-99,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,-99,-99,-99,1,2,-99
2024-01-02,17,-99,1,2,-99,1,1,2,0,2,1,2,1,-99,1,-99,1,4,2,-99,1,2,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
2024-01-02,18,-99,1,1,-99,1,1,2,0,2,1,2,1,-99,2,-99,2,4,2,-99,1,2,-99,2,1,-99,-99,1,2,-99,-99,1,1,-99
2024-01-02,19,-99,2,1,-99,1,1,2,0,1,1,2,1,-99,2,-99,2,4,2,-99,1,2,-99,2,1,-99,-99,1,1,-99,-99,1,1,-99
2024-01-02,20,-99,2,-99,-99,1,1,2,0,1,1,2,1,-99,2,-99,2,4,2,-99,1,2,-99,1,2,-99,-99,1,1,-99,-99,1,1,-99
2024-01-02,21,-99,2,3,-99,1,1,2,0,1,2,2,1,-99,3,-99,2,4,2,-99,1,2,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
2024-01-02,22,-99,1,4,-99,1,1,1,0,2,1,2,1,-99,2,-99,2,4,2,-99,1,2,-99,2,2,-99,-99,1,2,-99,-99,1,2,-99
2024-01-02,23,-99,2,2,-99,2,1,1,0,2,2,4,1,-99,2,-99,2,4,2,-99,1,2,-99,2,1,-99,-99,1,3,-99,-99,1,1,-99
