FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
2024-01-02,9,-99,5,-99,83,-99,102,27,45,-99,28,27,135,-99,81,-99,92,-99,-99,92,100,-99,-99,-99,44,106,78,-99,-99,12,108,179,-99,90,86,-99
2024-01-02,10,-99,9,-99,55,-99,37,28,19,-99,7,25,110,-99,53,-99,40,-99,-99,76,49,-99,-99,-99,57,47,53,-99,-99,11,79,133,-99,42,37,-99
2024-01-02,11,-99,16,-99,48,-99,32,23,6,-99,6,23,97,-99,23,-99,13,-99,-99,45,25,-99,-99,-99,37,32,28,-99,-99,7,37,78,-99,28,28,-99
2024-01-02,12,-99,9,-99,19,-99,8,9,8,-99,7,32,26,-99,-99,-99,8,-99,-99,11,16,-99,-99,-99,8,14,8,-99,-99,5,19,28,-99,14,18,-99
2024-01-02,13,-99,7,-99,8,-99,11,6,6,-99,7,18,20,-99,-99,-99,7,-99,-99,10,8,-99,-99,-99,6,7,5,-99,-99,4,14,7,-99,6,5,-99
2024-01-02,14,-99,5,-99,6,-99,3,6,5,-99,6,14,12,-99,-99,-99,3,-99,-99,6,9,-99,-99,-99,5,2,4,-99,-99,3,12,3,-99,2,4,-99
2024-01-02,15,-99,3,-99,4,-99,3,4,6,-99,2,6,7,-99,-99,-99,2,-99,-99,1,4,-99,-99,-99,2,1,3,-99,-99,2,14,5,-99,1,3,-99
2024-01-02,16,-99,2,-99,4,-99,2,2,6,-99,2,4,7,-99,-99,-99,3,-99,-99,2,2,-99,-99,-99,1,2,3,-99,-99,1,9,4,-99,2,2,-99
2024-01-02,17,-99,1,-99,2,-99,2,0,5,-99,1,2,6,-99,7,-99,3,-99,-99,3,1,-99,-99,-99,1,1,4,-99,-99,2,5,2,-99,2,3,-99
2024-01-02,18,-99,2,-99,1,-99,1,0,5,-99,1,1,4,-99,2,-99,3,-99,-99,3,1,-99,-99,-99,1,1,3,-99,-99,1,6,2,-99,0,3,-99
2024-01-02,19,-99,7,-99,1,-99,2,1,5,-99,1,1,6,-99,3,-99,4,-99,-99,6,2,-99,-99,-99,1,1,6,-99,-99,1,4,1,-99,0,4,-99
2024-01-02,20,-99,2,-99,-99,-99,1,2,6,-99,1,3,9,-99,1,-99,11,-99,-99,3,3,-99,-99,-99,1,1,10,-99,-99,2,8,3,-99,0,5,-99
2024-01-02,21,-99,0,-99,100,-99,1,2,9,-99,3,3,48,-99,4,-99,12,-99,-99,11,10,-99,-99,-99,3,1,4,-99,-99,8,16,2,-99,5,19,-99
2024-01-02,22,-99,0,-99,112,-99,5,6,9,-99,2,33,22,-99,4,-99,5,-99,-99,25,26,-99,-99,-99,3,1,12,-99,-99,3,10,5,-99,1,28,-99
